Index,SIVBOpen,SIVB.High,SIVB.Low,SIVB.Close,SIVBVolume,SIVB.WAP,SIVB.hasGaps,SIVB.Count
10/31/2022 9:30,232.86,232.86,232.86,232.86,83,232.86,0,1
10/31/2022 9:30,232.59,232.6,231.3,231.3,14,232.383,0,6
10/31/2022 9:31,231.54,233.14,231.54,233.14,4,232.595,0,4
10/31/2022 9:31,232.27,234.01,232.27,233.1,4,233.12,0,3
10/31/2022 9:32,234.04,234.1,234.04,234.1,2,234.07,0,2
10/31/2022 9:32,232.4,232.4,232.4,232.4,1,232.4,0,1
10/31/2022 9:33,232.4,232.4,232.4,232.4,0,232.4,0,0
10/31/2022 9:33,232.4,232.4,232.4,232.4,0,232.4,0,0
10/31/2022 9:34,232.99,233.65,232.64,232.64,6,233.137,0,6
10/31/2022 9:34,232.97,233.88,232.72,233.88,8,233.004,0,8
10/31/2022 9:35,232.84,233.73,232.29,233.42,13,232.895,0,11
10/31/2022 9:35,233.39,233.39,233.39,233.39,1,233.39,0,1
10/31/2022 9:36,232.71,232.71,232.7,232.71,1,232.705,0,1
10/31/2022 9:36,232.71,232.71,232.71,232.71,0,232.71,0,0
10/31/2022 9:37,232.49,233.17,232.4,232.66,6,232.753,0,6
10/31/2022 9:37,232.14,232.14,231.68,232.09,4,232.011,0,4
10/31/2022 9:38,232.11,232.11,232.11,232.11,2,232.11,0,1
10/31/2022 9:38,232.11,232.11,232.11,232.11,0,232.11,0,0
10/31/2022 9:39,231.63,232.46,231.63,232.46,2,232.045,0,2
10/31/2022 9:39,232.46,232.46,232.46,232.46,0,232.46,0,0
10/31/2022 9:40,231.64,232.2,231.29,231.68,14,231.652,0,5
10/31/2022 9:40,231.68,231.68,231.68,231.68,0,231.68,0,0
10/31/2022 9:41,231.65,232.06,231.58,231.59,4,231.734,0,4
10/31/2022 9:41,232.27,232.37,231.69,231.7,29,232.218,0,20
10/31/2022 9:42,231.86,232.38,231.6,231.6,6,232.164,0,5
10/31/2022 9:42,231,231.53,230.91,231.29,5,231.125,0,5
10/31/2022 9:43,231.29,231.29,231.29,231.29,0,231.29,0,0
10/31/2022 9:43,231.29,231.29,231.29,231.29,0,231.29,0,0
10/31/2022 9:44,230.64,230.64,230.64,230.64,1,230.64,0,1
10/31/2022 9:44,230.3,231,230.3,231,11,230.364,0,2
10/31/2022 9:45,230.27,230.69,230.26,230.69,5,230.351,0,3
10/31/2022 9:45,230.69,230.69,230.69,230.69,0,230.69,0,0
10/31/2022 9:46,230.69,230.69,230.69,230.69,0,230.69,0,0
10/31/2022 9:46,229.4,229.56,229.34,229.34,3,229.435,0,3
10/31/2022 9:47,229.25,229.46,228.83,229.46,14,229.181,0,13
10/31/2022 9:47,229.46,229.46,229.46,229.46,0,229.46,0,0
10/31/2022 9:48,229.61,229.61,228.69,228.69,10,228.774,0,3
10/31/2022 9:48,228.69,228.69,228.69,228.69,0,228.69,0,0
10/31/2022 9:49,228.93,229.52,228.93,229.18,5,229.249,0,4
10/31/2022 9:49,228.22,229.25,228.22,229.25,4,228.431,0,2
10/31/2022 9:50,229.25,229.25,229.25,229.25,0,229.25,0,0
10/31/2022 9:50,229.25,229.25,229.25,229.25,0,229.25,0,0
10/31/2022 9:51,228.73,229.71,228.73,229.25,18,229.003,0,9
10/31/2022 9:51,230.14,230.14,230.14,230.14,1,230.14,0,1
10/31/2022 9:52,230.5,230.68,230,230.68,43,230.437,0,11
10/31/2022 9:52,230.64,231.41,230.52,231.41,8,230.751,0,4
10/31/2022 9:53,231.41,231.41,231.41,231.41,0,231.41,0,0
10/31/2022 9:53,231.11,231.28,231.11,231.28,2,231.195,0,2
10/31/2022 9:54,231.28,231.28,231.28,231.28,0,231.28,0,0
10/31/2022 9:54,230.77,231.71,230.77,230.81,12,231.222,0,12
10/31/2022 9:55,230.81,230.81,230.81,230.81,0,230.81,0,0
10/31/2022 9:55,230.81,230.81,230.81,230.81,0,230.81,0,0
10/31/2022 9:56,230.22,230.54,229.62,229.62,28,229.892,0,22
10/31/2022 9:56,229.44,229.44,229,229.19,35,229.277,0,33
10/31/2022 9:57,229.8,229.8,229.09,229.09,7,229.439,0,7
10/31/2022 9:57,229.09,229.09,229.09,229.09,0,229.09,0,0
10/31/2022 9:58,229.09,229.09,229.09,229.09,0,229.09,0,0
10/31/2022 9:58,229.45,229.45,229.45,229.45,1,229.45,0,1
10/31/2022 9:59,229.45,229.45,229.45,229.45,0,229.45,0,0
10/31/2022 9:59,229.83,229.83,229.83,229.83,1,229.83,0,1
10/31/2022 10:00,229.44,229.89,229.43,229.89,6,229.719,0,6
10/31/2022 10:00,229.75,229.75,229.65,229.65,13,229.672,0,10
10/31/2022 10:01,229.65,229.97,229.65,229.65,7,229.695,0,7
10/31/2022 10:01,229.54,229.97,229.54,229.75,16,229.743,0,14
10/31/2022 10:02,229.8,229.8,229.8,229.8,1,229.8,0,1
10/31/2022 10:02,229.98,229.98,229.16,229.56,10,229.511,0,10
10/31/2022 10:03,229.7,230.5,229.39,230.03,25,229.933,0,24
10/31/2022 10:03,229.98,229.98,229.98,229.98,1,229.98,0,1
10/31/2022 10:04,229.95,230.02,229.77,230.02,7,229.871,0,7
10/31/2022 10:04,229.67,230.65,229.66,230.65,12,230.264,0,9
10/31/2022 10:05,230.08,230.31,230.03,230.31,5,230.096,0,5
10/31/2022 10:05,230,230.19,229.76,230.19,3,229.983,0,3
10/31/2022 10:06,229.76,229.91,229.49,229.5,3,229.722,0,3
10/31/2022 10:06,229.44,229.44,229.44,229.44,1,229.44,0,1
10/31/2022 10:07,229.24,229.58,228.94,229,13,229.202,0,12
10/31/2022 10:07,229.14,229.15,228.46,228.47,7,228.893,0,7
10/31/2022 10:08,228.47,228.69,228.32,228.33,9,228.429,0,9
10/31/2022 10:08,228.07,228.23,227.94,227.99,15,228.042,0,14
10/31/2022 10:09,228,228.5,228,228.27,20,228.178,0,20
10/31/2022 10:09,228.03,228.14,228.03,228.14,2,228.084,0,2
10/31/2022 10:10,227.91,228.1,227.42,227.44,37,227.769,0,29
10/31/2022 10:10,228.07,228.32,228,228.03,14,228.117,0,12
10/31/2022 10:11,228.04,228.32,228.03,228.2,3,228.183,0,3
10/31/2022 10:11,228.07,228.28,227.98,228.05,17,228.06,0,17
10/31/2022 10:12,228.19,228.4,228.14,228.21,18,228.253,0,14
10/31/2022 10:12,227.89,227.9,227.89,227.89,1,227.89,0,1
10/31/2022 10:13,227.84,227.84,227.84,227.84,1,227.84,0,1
10/31/2022 10:13,228.18,228.18,227.97,227.98,3,228.112,0,3
10/31/2022 10:14,227.96,228.78,227.96,228.78,25,228.238,0,25
10/31/2022 10:14,228.78,228.78,228.78,228.78,0,228.78,0,0
10/31/2022 10:15,228.76,228.76,228.39,228.39,8,228.499,0,7
10/31/2022 10:15,228.57,228.81,228.57,228.81,6,228.676,0,6
10/31/2022 10:16,228.81,228.81,228.81,228.81,0,228.81,0,0
10/31/2022 10:16,228.81,229.22,228.77,229.22,12,228.973,0,11
10/31/2022 10:17,229.48,229.48,229.32,229.44,8,229.44,0,7
10/31/2022 10:17,229.09,229.45,229.09,229.45,7,229.221,0,7
10/31/2022 10:18,229.5,230.19,229.5,230.01,7,229.824,0,7
10/31/2022 10:18,229.94,229.94,229.65,229.75,6,229.805,0,6
10/31/2022 10:19,229.75,229.75,229.69,229.69,2,229.718,0,2
10/31/2022 10:19,229.74,229.74,229.48,229.48,3,229.57,0,3
10/31/2022 10:20,229.45,229.62,229.28,229.28,16,229.417,0,16
10/31/2022 10:20,229.4,229.52,229.03,229.28,22,229.339,0,21
10/31/2022 10:21,229,229.03,228.83,228.84,5,228.973,0,4
10/31/2022 10:21,228.62,228.74,228.44,228.58,16,228.564,0,16
10/31/2022 10:22,228.58,228.58,228.58,228.58,0,228.58,0,0
10/31/2022 10:22,228.43,228.43,228.43,228.43,2,228.43,0,1
10/31/2022 10:23,228.43,228.43,228.43,228.43,0,228.43,0,0
10/31/2022 10:23,228.31,228.45,228.26,228.45,5,228.348,0,5
10/31/2022 10:24,228.45,228.45,228.45,228.45,0,228.45,0,0
10/31/2022 10:24,228.45,228.45,228.45,228.45,0,228.45,0,0
10/31/2022 10:25,227.8,227.8,227.74,227.74,2,227.77,0,2
10/31/2022 10:25,227.74,227.74,227.74,227.74,0,227.74,0,0
10/31/2022 10:26,227.73,227.73,227.73,227.73,1,227.73,0,1
10/31/2022 10:26,227.73,227.73,227.73,227.73,0,227.73,0,0
10/31/2022 10:27,227.68,228.43,227.58,228.37,27,228.008,0,27
10/31/2022 10:27,228.37,228.37,228.36,228.37,1,228.365,0,1
10/31/2022 10:28,228.22,228.34,228.22,228.24,6,228.261,0,6
10/31/2022 10:28,228.36,228.41,228.36,228.41,4,228.398,0,4
10/31/2022 10:29,228.5,228.61,228.5,228.59,3,228.567,0,3
10/31/2022 10:29,229.14,229.14,228.73,228.75,18,228.881,0,8
10/31/2022 10:30,228.85,228.85,228.43,228.64,11,228.573,0,11
10/31/2022 10:30,228.37,228.37,228.37,228.37,3,228.37,0,3
10/31/2022 10:31,228.34,228.35,227.91,227.97,11,228.141,0,11
10/31/2022 10:31,228.03,228.04,228.03,228.04,5,228.036,0,4
10/31/2022 10:32,227.76,227.99,227.76,227.8,9,227.841,0,8
10/31/2022 10:32,227.8,227.8,227.8,227.8,0,227.8,0,0
10/31/2022 10:33,227.66,227.86,227.57,227.57,17,227.676,0,12
10/31/2022 10:33,227.57,227.57,227.57,227.57,0,227.57,0,0
10/31/2022 10:34,227.55,227.7,227.55,227.7,3,227.64,0,3
10/31/2022 10:34,227.7,227.7,227.7,227.7,0,227.7,0,0
